Vendor/Supplier,Amount Paid
AASA,"25,000"
ABC CLIO Inc,"26,272"
ABDO Publishing Company,"69,391"
Accredited Lock and Door Hardware Co,"45,550"
AccuLine Enterprises Inc,"49,080"
Acer Service Corporation,"295,750"
Acme Paper & Supply Co Inc,"811,144"
ACT Inc,"92,707"
AdvancePierre Foods Inc,"765,443"
Adventist Rehabilitation Hospital of Maryland Inc,"264,750"
AFP Industries Inc,"350,670"
Aireco Supply Inc,"33,935"
Alan Tye & Associates LC,"99,097"
Alarm Tech Solutions LLC,"26,391"
Alban Engineering Inc,"77,500"
All Day Medical Care Clinic,"85,572"
Amber Enterprises Inc,"380,621"
American Air Filter Company Inc,"340,821"
American Combustion Industries Inc,"1,823,697"
American Reprographics Inc,"39,767"
American Scientific LLC,"55,229"
American Tennis Courts Inc,"1,735,641"
American Truck & Bus Inc,"16,773,614"
AmeriGas Propane LP,"90,706"
Amplify Education Inc,"551,302"
AON Consulting Inc,"373,241"
Apex Companies LLC,"548,013"
Apex Learning Inc,"98,550"
Apple & Eve LLC,"30,870"
Apple Inc,"1,040,395"
Architecture Inc,"1,931,227"
Ark Systems Inc,"47,742"
Articulate Global Inc,"25,232"
Asbestos Specialists Inc,"237,185"
Ascom Hasler Mailing Systems,"270,000"
Associated Catholic Charities Inc,"180,593"
Associated Controls Inc,"59,861"
Associated Professional Rehabilitation Services Inc,"71,014"
Association for Unmanned Vehicle Systems International Foundation Inc,"35,645"
AT&T Mobility II LLC,"354,446"
ATC Healthcare Services Inc,"86,180"
Atlantech Online Inc,"683,131"
Attainment Company,"48,704"
Audio Visual Innovations Inc,"38,181"
"Automatic Nursing Care Services, Inc","53,534"
Automotive Support Services Inc,"178,241"
Aztech Datasystems Inc,"177,287"
B & H Foto & Electronics Corp,"260,119"
B W Wilson Paper Company Inc,"141,582"
Baker & Taylor Inc,"58,670"
Banc of America Public Capital Corp,"32,280,952"
Baptist Convention of MD/DE,"164,074"
Barnes & Noble Booksellers Inc,"121,915"
Bell TechLogix Inc,"2,029,001"
Benchmark Education Company LLC,"115,854"
Benedictine School,"2,293,270"
Benefit Strategies LLC,"5,579,857"
Berry Dunn McNeil & Parker LLC,"89,860"
"Betances, Paul A","44,275"
BGE,"492,690"
Blackboard Inc,"501,554"
Blick Art Materials LLC,"58,828"
Board of Child Care of the United Methodist Church Inc,"184,720"
Board of Education of Baltimore County,"120,659"
Bob McCloskey Agency LLC,"54,974"
Bobs Overhead Door Repair & Service Inc,"29,462"
Boiler & Furnace Cleaners Inc,"239,235"
Boland Trane Services Inc,"66,725"
Bowman Sales & Equipment Inc,"74,320"
Briggs Chaney Walk in Clinic LLC,"37,380"
BrightView Holdings Inc,"285,288"
Brinjac Engineering Inc- A Nelson Company,"500,736"
Brook Lane Health Services Inc,"1,638,487"
Buckhorn Inc,"26,957"
Building Automation Services Inc,"292,237"
Building Dynamics LLC,"205,583"
Bunn LLC,"67,628"
"Burdette, Koehler, Murphy & Associates Inc","109,750"
Burmax Company Inc,"27,819"
Bus Patrol America LLC,"1,553,350"
Business Software Inc,"29,547"
Busy Service Inc,"33,246"
C. Archer and Associates,"134,045"
C. N. Robinson Lighting Supply Co Inc,"116,269"
C.A.S Industries Inc,"41,222"
CA Inc,"75,820"
Cadan Technologies,"85,579"
Calfed Financial Corp,"232,433"
Calico Industrial Supply LLC,"108,097"
Canon Financial Services Inc,"179,317"
Canon Solutions America Inc,"155,345"
"Cantwell - Cleary Co., Inc","55,890"
Capitol Document Solutions LLC,"924,567"
Cargill Kitchen Solutions Inc,"218,304"
Caring Nurses Services Inc,"61,950"
"Carney, Kelehan, Bresler, Bennett & Scherr LLP","754,306"
Carolina Biological Supply Co,"175,770"
Carolina Imaging & Computer Products Inc,"675,492"
CDW Government LLC,"18,109,533"
Cengage Learning Inc,"423,582"
Centennial Contractors Enterprises Inc,"227,100"
Center for Applied Linguistics,"63,160"
Center for Autism and Related Disorders LLC,"56,090"
Centers For Advanced Orthopaedics LLC,"60,000"
Chelsea School,"44,392"
Chesapeake Communications Inc,"39,977"
Child's World,"26,356"
Circle Electric Inc,"37,282"
Citiroof Corp,"942,446"
City Of Rockville,"373,578"
Clampett Industries LLC,"601,376"
Clark Associates Inc,"376,320"
